Feature,Description
nya_EMA_50,The 50-day Exponential Moving Average (EMA) of the NYSE Composite index.
nya_SMA_100,The 100-day Simple Moving Average (SMA) of the NYSE Composite index.
nya_SMA_200,The 200-day Simple Moving Average (SMA) of the NYSE Composite index.
nya_EMA_100,The 100-day Exponential Moving Average (EMA) of the NYSE Composite index.
nya_EMA_200,The 200-day Exponential Moving Average (EMA) of the NYSE Composite index.
sp500_RSI,The Relative Strength Index (RSI) of the S&P 500 index.
sp500_MACD,The Moving Average Convergence Divergence (MACD) of the S&P 500 index.
sp500_MACD_signal,The signal line of the MACD for the S&P 500 index.
sp500_MACD_hist,The histogram of the MACD for the S&P 500 index.
sp500_ADX,The Average Directional Index (ADX) of the S&P 500 index.
sp500_CCI,The Commodity Channel Index (CCI) of the S&P 500 index.
sp500_ROC,The Rate of Change (ROC) of the S&P 500 index.
sp500_SMA_10,The 10-day Simple Moving Average (SMA) of the S&P 500 index.
sp500_SMA_20,The 20-day Simple Moving Average (SMA) of the S&P 500 index.
sp500_EMA_10,The 10-day Exponential Moving Average (EMA) of the S&P 500 index.
sp500_EMA_20,The 20-day Exponential Moving Average (EMA) of the S&P 500 index.
sp500_SMA_50,The 50-day Simple Moving Average (SMA) of the S&P 500 index.
sp500_EMA_50,The 50-day Exponential Moving Average (EMA) of the S&P 500 index.
sp500_SMA_100,The 100-day Simple Moving Average (SMA) of the S&P 500 index.
sp500_SMA_200,The 200-day Simple Moving Average (SMA) of the S&P 500 index.
sp500_EMA_100,The 100-day Exponential Moving Average (EMA) of the S&P 500 index.
sp500_EMA_200,The 200-day Exponential Moving Average (EMA) of the S&P 500 index.
light_crude_oil_RSI,The Relative Strength Index (RSI) of light crude oil prices.
light_crude_oil_MACD,The Moving Average Convergence Divergence (MACD) of light crude oil prices.
light_crude_oil_MACD_signal,The signal line of the MACD for light crude oil prices.
light_crude_oil_MACD_hist,The histogram of the MACD for light crude oil prices.
light_crude_oil_ADX,The Average Directional Index (ADX) of light crude oil prices.
light_crude_oil_CCI,The Commodity Channel Index (CCI) of light crude oil prices.
light_crude_oil_ROC,The Rate of Change (ROC) of light crude oil prices.
light_crude_oil_SMA_10,The 10-day Simple Moving Average (SMA) of light crude oil prices.
light_crude_oil_SMA_20,The 20-day Simple Moving Average (SMA) of light crude oil prices.
light_crude_oil_EMA_10,The 10-day Exponential Moving Average (EMA) of light crude oil prices.
light_crude_oil_EMA_20,The 20-day Exponential Moving Average (EMA) of light crude oil prices.
light_crude_oil_SMA_50,The 50-day Simple Moving Average (SMA) of light crude oil prices.
light_crude_oil_EMA_50,The 50-day Exponential Moving Average (EMA) of light crude oil prices.
light_crude_oil_SMA_100,The 100-day Simple Moving Average (SMA) of light crude oil prices.
light_crude_oil_SMA_200,The 200-day Simple Moving Average (SMA) of light crude oil prices.
light_crude_oil_EMA_100,The 100-day Exponential Moving Average (EMA) of light crude oil prices.
light_crude_oil_EMA_200,The 200-day Exponential Moving Average (EMA) of light crude oil prices.
btc_RSI,The Relative Strength Index (RSI) of Bitcoin (BTC).
btc_MACD,The Moving Average Convergence Divergence (MACD) of Bitcoin (BTC).
btc_MACD_signal,The signal line of the MACD for Bitcoin (BTC).
btc_MACD_hist,The histogram of the MACD for Bitcoin (BTC).
btc_ADX,The Average Directional Index (ADX) of Bitcoin (BTC).
btc_CCI,The Commodity Channel Index (CCI) of Bitcoin (BTC).
btc_ROC,The Rate of Change (ROC) of Bitcoin (BTC).
btc_SMA_10,The 10-day Simple Moving Average (SMA) of Bitcoin (BTC).
btc_SMA_20,The 20-day Simple Moving Average (SMA) of Bitcoin (BTC).
btc_EMA_10,The 10-day Exponential Moving Average (EMA) of Bitcoin (BTC).
btc_EMA_20,The 20-day Exponential Moving Average (EMA) of Bitcoin (BTC).
btc_SMA_50,The 50-day Simple Moving Average (SMA) of Bitcoin (BTC).
btc_EMA_50,The 50-day Exponential Moving Average (EMA) of Bitcoin (BTC).
btc_SMA_100,The 100-day Simple Moving Average (SMA) of Bitcoin (BTC).
btc_SMA_200,The 200-day Simple Moving Average (SMA) of Bitcoin (BTC).
btc_EMA_100,The 100-day Exponential Moving Average (EMA) of Bitcoin (BTC).
btc_EMA_200,The 200-day Exponential Moving Average (EMA) of Bitcoin (BTC).
total_crypto_cap_RSI,The Relative Strength Index (RSI) of the total cryptocurrency market capitalization.
total_crypto_cap_MACD,The Moving Average Convergence Divergence (MACD) of the total cryptocurrency market capitalization.
total_crypto_cap_MACD_signal,The signal line of the MACD for the total cryptocurrency market capitalization.
total_crypto_cap_MACD_hist,The histogram of the MACD for the total cryptocurrency market capitalization.
total_crypto_cap_ADX,The Average Directional Index (ADX) of the total cryptocurrency market capitalization.
total_crypto_cap_CCI,The Commodity Channel Index (CCI) of the total cryptocurrency market capitalization.
total_crypto_cap_ROC,The Rate of Change (ROC) of the total cryptocurrency market capitalization.
total_crypto_cap_SMA_10,The 10-day Simple Moving Average (SMA) of the total cryptocurrency market capitalization.
total_crypto_cap_SMA_20,The 20-day Simple Moving Average (SMA) of the total cryptocurrency market capitalization.
total_crypto_cap_EMA_10,The 10-day Exponential Moving Average (EMA) of the total cryptocurrency market capitalization.
total_crypto_cap_EMA_20,The 20-day Exponential Moving Average (EMA) of the total cryptocurrency market capitalization.
total_crypto_cap_SMA_50,The 50-day Simple Moving Average (SMA) of the total cryptocurrency market capitalization.
total_crypto_cap_EMA_50,The 50-day Exponential Moving Average (EMA) of the total cryptocurrency market capitalization.
total_crypto_cap_SMA_100,The 100-day Simple Moving Average (SMA) of the total cryptocurrency market capitalization.
total_crypto_cap_SMA_200,The 200-day Simple Moving Average (SMA) of the total cryptocurrency market capitalization.
total_crypto_cap_EMA_100,The 100-day Exponential Moving Average (EMA) of the total cryptocurrency market capitalization.
total_crypto_cap_EMA_200,The 200-day Exponential Moving Average (EMA) of the total cryptocurrency market capitalization.
